link,inclusion order,title,qualifies,authors,publication,doi,year,,keywords,institution of first author,institution of last author,author associated with proximate data provider,proximate data source,country of study,spatial extent of study,start year,end year,,methodology development or analysis,individual species question,community question,,response variable – species richness,response variable – diversity,response variable – distribution,response variable – abundance,response variable – phenology,,trends over time,alien species focus,taxonomic group,,data structure – organized data collection scheme,data structure – sampling effort known,data structure – non-detection,data structure – multiple datasets integrated for analysis,,data type – what where when only,data type – abundance,data type – visit specific covariates,data type – life stage,data type – photo,data type – audio,data type – video,data type – voucher of some kind necessary for analysis,data type – gridded,grid resolution,,results type – inference,results type – prediction,results type – descriptive only,,biological records as response variable,biological records as predictor variable,biological records in facilitative role but not analyzed,spatially uneven sampling corrected for,prediction performance measure,cross validation,testing using simulation,testing using training data,testing using data subset,testing using independent dataset,,analysis method,predictor variables,methodology focus,,coding DONE,other notes,eligible for meta-analysis
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045742312&partnerID=40&md5=67af25067cd77b7515df08e199fe5344,249,Inferring status changes of three widespread British reptiles from NBN Atlas records,TRUE,"Beebee, TJC; Ratcliffe, S",The Herpetological Bulletin,NA,2018,,NA,Amphibian and Reptile Conservation Trust,National Biodiversity Network,T,NBN Atlas,UK,Great Britain,1970,2017,,F,T,F,,F,F,F,F,F,,T,F,reptile,,F,F,F,F,,T,F,F,F,F,F,F,F,T,1 km^2,,T,F,F,,T,F,F,F,NA,F,F,T,F,F,,linear regression,time; land use,NA,,T,,T
http://etheses.whiterose.ac.uk/id/eprint/18904,789,Using citizen science data to reveal the role of ecological processes in range changes of grasshoppers and crickets in Britain,TRUE (but there is also an article from this),NA,NA,NA,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0130488,2220,Two species with an unusual combination of traits dominate responses of British grasshoppers and crickets to environmental change,TRUE (but also a PhD thesis of which this is a chapter qualifies),NA,NA,NA,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://search.proquest.com/docview/2002427411?accountid=14507,3,The sensitivity of breeding songbirds to changes in seasonal timing is linked to population change but cannot be directly attributed to the effects of trophic asynchrony on productivity,TRUE,"Franks, SE; Pearce-Higgins, JW; Atkinson, S; Bell, JR; Botham, MS; Brereton, TM; Harrington, R; Leech, DI",Global Change Biology,10.1111/gcb.13960,2017,,citizen science; climate change; demography; migration; mismatch hypothesis; phenology; population change; trophic asynchrony,British Trust for Ornithology,British Trust for Ornithology,T,British Trust for Ornithology,UK,UK,1983,2010,,F,T,F,,F,F,F,T,T,,T,F,birds; plants; moths; aphids; butterflies,,T,F,T,T,,T,F,F,T,F,F,F,F,F,NA,,T,F,F,,T,F,F,F,NA,F,F,T,F,F,,GLM,time; migration strategy; year; precipitation; temperature ,NA,,T,,T
https://link.springer.com/article/10.1007/s10531-017-1479-5,7,Essential biodiversity variables are not global,TRUE,"Peterson, AT; Soberon, J",Biodiversity and Conservation,10.1007/s10531-017-1479-5,2018,,essential biodiversity variables; ecosystem services; genetic composition; populations; traits; community composition; primary biodiversity data,The University of Kansas,The University of Kansas,F,GBIF; Compadre; Commadre,global,global,unclear,unclear,,F,F,F,,F,F,F,F,F,,F,F,all,,T,T,T,T,,T,F,F,F,F,F,F,F,F,NA,,F,F,T,,T,F,F,F,NA,F,F,F,F,F,,description; maps,country,NA,,T,,F
https://www.sciencedirect.com/science/article/pii/S0006320717308030,38,Missing native oyster (Ostrea edulis L.) beds in a European Marine Protected Area: Should there be widespread restorative management?,TRUE,"Farinas-Franco, JM; Pearce, B; Mair, JM; Harries, DB; MacPherson, RC; Porter, JS; Reimer, PJ; Sanderson, WG",Biological Conservation,10.1016/j.biocon.2018.03.010,2018,,oyster; Ostrea edulis; conservation management; MPA; baseline; restoration,"Heriot-Watt University; National University of Ireland, Galway",Heriot-Watt University; St. Abbs Marine Station,F,NBN; Marlin; Marine Environmental Data Network; UK Marine Recorder; Canmore; others,UK,12273 ha,-6000,2014,,F,T,F,,F,F,T,F,F,,T,F,oyster,,F,F,F,T,,T,T,F,F,F,F,F,T,F,NA,,F,F,T,,T,F,F,F,NA,F,F,F,F,F,,description,NA,NA,,T,,F
https://search.proquest.com/docview/2019972726?accountid=14507,53,Global mapping of potential natural vegetation: an assessment of Machine Learning algorithms for estimating land potential,TRUE,"Hengl, T; Walsh, MG; Sanderman, J; Wheeler, I; Harrison, SP; Prentice, IC",PeerJ Preprints,10.7287/peerj.preprints.26811v1 ,2018,,NA,"Envirometrix Tld., Wageningen, the Netherlands",Imperial College London,F,GBIF; EU Forest; BIOME 6000,global,global,unclear,2017,,T,T,T,,F,F,T,F,F,,F,F,trees,,T,T,T,T,,T,F,F,F,F,F,F,F,F,NA,,F,T,F,,T,F,F,F,map accuracy; RMSE; True Positive Rate; AUC; Scaled Shannon Entropy Index; kappa,T,F,F,T,T,,random forest; neural networks; gradient boosting; K-nearest neighbor; cubist,biophysical conditions (160 variables),testing machine learning prediction methods,,T,"worth looking at again, very similar to my project.  Used 160 predictor variables as prediction was main goal.  Perhaps summarise AUC values for individual species predictions and compare to my simulation?",T
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045056948&doi=10.1007%2fs10841-018-0052-1&partnerID=40&md5=5173c71df4164829d9018143c5c3adfc,60,A role for artificial night-time lighting in long-term changes in populations of 100 widespread macro-moths in UK and Ireland: a citizen-science study,TRUE,"Wilson, JF; Baker, D; Cheney, J; Cook, M; Ellis, M; Freestone, R; Gardner, D; Geen, G; Hemming, R; Hodgers, D; Howarth, S; Jupp, A; Lowe, N; Orridge, S; Shaw, M; Smith, B; Turner, A; Young, H",JOURNAL OF INSECT CONSERVATION,10.1007/s10841-018-0052-1,2018,,Lepidoptera; abundance; light pollution; land-use; northern range boundary,UK and Ireland Garden Moth Scheme,UK and Ireland Garden Moth Scheme,T,UK and Ireland Garden Moth Scheme,UK; Ireland,UK and Ireland excluding Channel Islands,2005,2013,,F,T,F,,F,F,T,T,F,,F,F,moths,,T,T,T,F,,F,T,T,F,F,F,F,F,T,100 m^2,,T,F,F,,T,F,F,F,NA,F,F,T,F,F,,"chi square, linear regression; GLM",larval food plant; over-wintering stage,NA,,T,,T
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030456712&doi=10.1111%2fecog.03140&partnerID=40&md5=77f06550c18b9822d7961ff92a43f479,69,The spatial distribution and environmental triggers of ant mating flights: using citizen-science data to reveal national patterns,TRUE,"Hart, AG; Hesselberg, T; Nesbit, R; Goodenough, AE",Ecography,10.1111/ecog.03140,2018,,NA,University of Gloucestershire,University of Gloucestershire,T,Royal Society of Biology,UK excluding Northern Ireland,UK excluding Northern Ireland,2012,2014,,F,T,F,,F,F,F,F,T,,F,F,ants,,T,F,F,F,,T,F,T,T,F,F,F,T,F,NA,,T,F,F,,T,F,F,F,NA,F,F,T,F,F,,chi square; GLMM; bootstrap sign test,temperature; wind speed; barometric pressure; trend in those variables (difference from the previous day),NA,,T,,T
10.1371/journal.pone.0191021,96,Changes in the geographical distribution of plant species and climatic variables on the West Cornwall peninsula (South West UK),TRUE,"Kosanic, A; Anderson, K; Harrison, S; Turkington, T; Bennie, J",PloS ONE,10.1371/journal.pone.0191021,2018,,NA,University of Exeter; University of Konstanz,University of Exeter,F,NBN; The Flora of Cornwall (Davey 1909),UK,West Cornwall,1700,2013,,T,T,F,,F,F,T,F,F,,T,F,plants,,F,F,F,T,,T,F,F,F,F,F,F,F,T,10 km^2,,T,F,F,,T,F,F,F,NA,F,F,F,F,F,,Mann-Whitney U test; GLM,Ellenberg values; temperature; precipitation,georeferencing specimens and old records,,T,,T
